No,Business name,category,instaram,whatsapp,Valid point,website external
1,"TOMORO COFFEE - Citra 6","cafe","https://instagram.com/tomorocoffeecitra6","081119272103","3","non existed"
2,"SAGA Coffee","cafe","https://instagram.com/sagacoffee","082164277277","3","non existed"
3,"ARAH Coffee Citra 7","cafe","https://instagram.com/arahcoffeecitra7","081128512545","3","non existed"
4,"Kopi Konnichiwa Citra 6","cafe","https://instagram.com/kopikonnichiwacitra6","081290810368","3","non existed"
5,"Seberang Senja Coffee & Eatery","cafe","https://instagram.com/seberangsenjacoffeeeatery","082223210708","3","non existed"
6,"Cafe Clabing","cafe","https://instagram.com/cafeclabing","085718186954","3","non existed"
7,"SEMATJAM di Citra 6","cafe","https://instagram.com/sematjamdicitra6","085721555501","3","non existed"
8,"Polly Cafe Sunset Avenue","cafe","https://instagram.com/pollycafesunsetavenue","081291994192","3","non existed"
9,"Tipika micro Roastery","cafe","https://instagram.com/tipikamicroroastery","08989900046","3","non existed"
10,"Backdoor x PatBingSoo Next Level","cafe","https://instagram.com/backdoorxpatbingsoonextlevel","087749528886","3","non existed"
11,"YOEEH COFFEE ROASTERY","cafe","https://instagram.com/yoeehcoffeeroastery","085161219010","3","non existed"
12,"Joy Listening Space Coffee Tea Smoothie","cafe","https://instagram.com/joylisteningspacecoffeeteasmoothie","08170040653","3","non existed"
13,"Green Fox Kalideres (Coffee•Kitchen•Gelato)","cafe","https://instagram.com/greenfoxkaliderescoffeekitchengelato","082312357324","3","non existed"
14,"black nektar kedai","cafe","https://instagram.com/blacknektarkedai","081382130075","3","non existed"
15,"Kopi Leku Apartemen Sky Terrace","cafe","https://instagram.com/kopilekuapartemenskyterrace","081808192663","3","non existed"
16,"COLUMN; Rooftop Cafe","cafe","https://instagram.com/columnrooftopcafe","081292609364","3","non existed"
17,"Warmindo Nongkrong Wareg (NW)","cafe","https://instagram.com/warmindonongkrongwaregnw","081213800908","3","non existed"
18,"Cafe Siang Malam 7 (24JAM)","cafe","https://instagram.com/cafesiangmalam724jam","085710504497","3","non existed"
19,"Pros coffe","cafe","https://instagram.com/proscoffe","081334885203","3","non existed"
20,"Kungfu Ice Cream","cafe","https://instagram.com/kungfuicecream","081257222218","3","non existed"
21,"Reset Coffee - Green Garden","cafe","https://instagram.com/resetcoffeegreengarden","087821879887","3","non existed"
22,"Cofee & cho","cafe","https://instagram.com/cofeecho","081210460963","3","non existed"
23,"Warteg 2 Nur","cafe","https://instagram.com/warteg2nur","087787108283","3","non existed"
24,"KFC Citra Garden 6","cafe","https://instagram.com/kfccitragarden6","08117157069","3","non existed"
25,"Sudutsatu Cafe","cafe","https://instagram.com/sudutsatucafe","085893421421","3","non existed"
26,"Tanatap Coffee Meruya","cafe","https://instagram.com/tanatapcoffeemeruya","081292632172","3","non existed"
27,"Temanta Meruya","cafe","https://instagram.com/temantameruya","085175122087","3","non existed"
28,"Cafe Ca Ma Cam","cafe","https://instagram.com/cafecamacam","08561011888","3","non existed"
29,"Kopi Kontrakan","cafe","https://instagram.com/kopikontrakan","087884686482","3","non existed"
30,"Tongkrongan Kopaja","cafe","https://instagram.com/tongkrongankopaja","0895333978465","3","non existed"
31,"Caffeine Suite","cafe","https://instagram.com/caffeinesuite","08118888051","3","non existed"
32,"Kopi Tetangga Sebelah","cafe","https://instagram.com/kopitetanggasebelah","087832598880","3","non existed"
33,"ECO 8","cafe","https://instagram.com/eco8","081310008829","3","non existed"
34,"IGOR CITRA 6","restaurant","https://instagram.com/igorcitra6","081388108077","3","non existed"
35,"Waroenk Kito Taman Palem Lestari","restaurant","https://instagram.com/waroenkkitotamanpalemlestari","085107777641","3","non existed"
36,"Genki Sushi Citra 6","restaurant","https://instagram.com/genkisushicitra6","081283847410","3","non existed"
37,"Seafood 52","restaurant","https://instagram.com/seafood52","081282085252","3","non existed"
38,"SEMATJAM di Citra 6","restaurant","https://instagram.com/sematjamdicitra6","085721555501","3","non existed"
39,"Saung bambu cafe and resto","restaurant","https://instagram.com/saungbambucafeandresto","081318237502","3","non existed"
40,"Pesta Rasa Nusantara - Taman Palem","restaurant","https://instagram.com/pestarasanusantaratamanpalem","081210169150","3","non existed"
41,"Masakan Khas Medan Aphin 88","restaurant","https://instagram.com/masakankhasmedanaphin88","085105180075","3","non existed"
42,"Pondok sambal djudez","restaurant","https://instagram.com/pondoksambaldjudez","081585022292","3","non existed"
43,"Lesehan Kehed","restaurant","https://instagram.com/lesehankehed","081285981901","3","non existed"
44,"BAKMIE SENCINPING","restaurant","https://instagram.com/bakmiesencinping","081998874434","3","non existed"
45,"Restoran Ikan chiyuba Taman Palem Lestari","restaurant","https://instagram.com/restoranikanchiyubatamanpalemlestari","085283256718","3","non existed"
46,"Ameng 'Medan Rasa' Chinese Food","restaurant","https://instagram.com/amengmedanrasachinesefood","081218662115","3","non existed"
47,"Totlah, Taman Palem Lestari","restaurant","https://instagram.com/totlahtamanpalemlestari","081399230069","3","non existed"
48,"Saung Kita Daan Mogot","restaurant","https://instagram.com/saungkitadaanmogot","081298800513","3","non existed"
49,"KFC Citra Garden 6","restaurant","https://instagram.com/kfccitragarden6","08117157069","3","non existed"
50,"Eka Rasa","restaurant","https://instagram.com/ekarasa","089636754157","3","non existed"
51,"Renash Japanese Food","restaurant","https://instagram.com/renashjapanesefood","081314244810","3","non existed"
52,"Kampung Kecil Kedoya Puri Kembangan","restaurant","https://instagram.com/kampungkecilkedoyapurikembangan","0817118003","3","non existed"
53,"Nagabi Resto","restaurant","https://instagram.com/nagabiresto","082116171818","3","non existed"
54,"Lok-Lok Sultan","restaurant","https://instagram.com/lokloksultan","087884807555","3","non existed"
55,"Njonja Heritage","restaurant","https://instagram.com/njonjaheritage","08568867899","3","non existed"
56,"Cabe Bawang Citra 8","restaurant","https://instagram.com/cabebawangcitra8","085892809197","3","non existed"
57,"Tom Yam Sapo 37","restaurant","https://instagram.com/tomyamsapo37","081281846010","3","non existed"
58,"Warung Mutia","restaurant","https://instagram.com/warungmutia","081384802025","3","non existed"
59,"Waroeng Pa Mo","restaurant","https://instagram.com/waroengpamo","082125109277","3","non existed"
60,"Rumah Makan MasMurni","restaurant","https://instagram.com/rumahmakanmasmurni","081317975928","3","non existed"
61,"Dapur Betawi JKT","restaurant","https://instagram.com/dapurbetawijkt","08881606236","3","non existed"
62,"Food Court Green Kitchen","restaurant","https://instagram.com/foodcourtgreenkitchen","08121311899","3","non existed"
63,"Rumah Makan Lesehan Berkah Jaya Lele Terbang","restaurant","https://instagram.com/rumahmakanlesehanberkahjayaleleterbang","087885318540","3","non existed"
64,"Saung Greenville","restaurant","https://instagram.com/saunggreenville","08119333233","3","non existed"
65,"Saoenk Kito Susilo","restaurant","https://instagram.com/saoenkkitosusilo","085107171790","3","non existed"
66,"Grand Marco Seafood","restaurant","https://instagram.com/grandmarcoseafood","085172131878","3","non existed"
67,"Little Red Dot - Central Park","restaurant","https://instagram.com/littlereddotcentralpark","085282141202","3","non existed"
68,"Sushi Yay! - Green Garden","restaurant","https://instagram.com/sushiyaygreengarden","085183133472","3","non existed"
69,"Cafe Ca Ma Cam","restaurant","https://instagram.com/cafecamacam","08561011888","3","non existed"
70,"Warteg sari asih","restaurant","https://instagram.com/wartegsariasih","087768887667","3","non existed"
71,"BALLEBAT","restaurant","https://instagram.com/ballebat","081370723780","3","non existed"
72,"Mangiamoo Bistro & Gelato","restaurant","https://instagram.com/mangiamoobistrogelato","08119563588","3","non existed"
73,"KFC Daan Mogot","restaurant","https://instagram.com/kfcdaanmogot","08117157053","3","non existed"
74,"Reset Coffee - Green Garden","restaurant","https://instagram.com/resetcoffeegreengarden","087821879887","3","non existed"
75,"Iseul Barbershop","barbershop","https://instagram.com/iseulbarbershop","08559994333","3","non existed"
76,"Beyond Premium Barbershop","barbershop","https://instagram.com/beyondpremiumbarbershop","082310287965","3","non existed"
77,"BAGUS BARBERSHOP cabang taman surya","barbershop","https://instagram.com/bagusbarbershopcabangtamansurya","081808522775","3","non existed"
78,"Barberhive","barbershop","https://instagram.com/barberhive","081806059090","3","non existed"
79,"Tux Barbershop Citra Garden","barbershop","https://instagram.com/tuxbarbershopcitragarden","081262971886","3","non existed"
80,"Boyzone Barbershop - Taman Surya","barbershop","https://instagram.com/boyzonebarbershoptamansurya","081282167005","3","non existed"
81,"CROWN BARBER SHOP","barbershop","https://instagram.com/crownbarbershop","081394399888","3","non existed"
82,"BAGUS BARBERSHOP cabang menceng","barbershop","https://instagram.com/bagusbarbershopcabangmenceng","081227206963","3","non existed"
83,"IRASAI BARBERSHOP ( Siau Ing Music )","barbershop","https://instagram.com/irasaibarbershopsiauingmusic","081314930731","3","non existed"
84,"Camps & Co Barbershop","barbershop","https://instagram.com/campscobarbershop","081330094303","3","non existed"
85,"Jthebarber Barbershop Citra Garden 2","barbershop","https://instagram.com/jthebarberbarbershopcitragarden2","081265191722","3","non existed"
86,"Gunting Ganteng Barbershop","barbershop","https://instagram.com/guntinggantengbarbershop","087888333951","3","non existed"
87,"Captain Barbershop Daan Mogot","barbershop","https://instagram.com/captainbarbershopdaanmogot","082123161872","3","non existed"
88,"D'Mens Barbershop Taman Palem","barbershop","https://instagram.com/dmensbarbershoptamanpalem","082191002012","3","non existed"
89,"Barbershop The Kush","barbershop","https://instagram.com/barbershopthekush","089652951151","3","non existed"
90,"Neshia BARBERSHOP","barbershop","https://instagram.com/neshiabarbershop","087877907210","3","non existed"
91,"Pangkas Bukan Barbershop","barbershop","https://instagram.com/pangkasbukanbarbershop","08978218166","3","non existed"
92,"Top One Barbershop","barbershop","https://instagram.com/toponebarbershop","085715079029","3","non existed"
93,"BARBERTOPIA CITRA 8","barbershop","https://instagram.com/barbertopiacitra8","081319412197","3","non existed"
